Sample Rate: 61.5384615384615,,,,,,,,,,,
Relative Time,Date,Time Stamp Local,Cheek_Volt,Cheek_Heat Flux,Cheek_Temp ,Calf_Volt,Calf_Heat Flux,Calf_Temp,Wrst_Volt,Wrst_Heat Flux,Wrst_Temp
15.47,9/11/2024,2:37:57 PM,0.001190185547,64.19555269,34.50317383,0.001525878906,81.42363427,33.45947266,0.0009460449219,98.85526874,35.52856445
15.6,9/11/2024,2:37:57 PM,0.001220703125,65.8415925,34.50317383,0.001403808594,74.90974353,33.45947266,0.0009765625,102.0441484,35.52856445
15.73,9/11/2024,2:37:57 PM,0.001159667969,62.54951288,34.50317383,0.001556396484,83.05210696,33.42285156,0.001007080078,105.233028,35.49194336
15.86,9/11/2024,2:37:57 PM,0.001220703125,65.8415925,34.46655273,0.001525878906,81.42363427,33.42285156,0.0009155273438,95.66638911,35.49194336
15.99,9/11/2024,2:37:57 PM,0.001129150391,60.90347306,34.46655273,0.001556396484,83.05210696,33.42285156,0.0008850097656,92.47750947,35.49194336
16.12,9/11/2024,2:37:58 PM,0.001251220703,67.48763232,34.50317383,0.001647949219,87.93752501,33.45947266,0.0009155273438,95.66638911,35.45532227
16.25,9/11/2024,2:37:58 PM,0.001251220703,67.48763232,34.46655273,0.001495361328,79.79516159,33.42285156,0.001068115234,111.6107873,35.49194336
16.38,9/11/2024,2:37:58 PM,0.001251220703,67.48763232,34.46655273,0.001495361328,79.79516159,33.45947266,0.0008850097656,92.47750947,35.41870117
16.51,9/11/2024,2:37:58 PM,0.001098632813,59.25743325,34.35668945,0.001525878906,81.42363427,33.34960938,0.001129150391,117.9885466,35.41870117
16.64,9/11/2024,2:37:58 PM,0.001251220703,67.48763232,34.42993164,0.00146484375,78.1666889,33.42285156,0.001098632813,114.7996669,35.45532227
16.77,9/11/2024,2:37:58 PM,0.001373291016,74.07179157,34.42993164,0.001556396484,83.05210696,33.45947266,0.0009460449219,98.85526874,35.52856445
16.9,9/11/2024,2:37:58 PM,0.001129150391,60.90347306,34.46655273,0.001373291016,73.28127084,33.42285156,0.0009155273438,95.66638911,35.49194336
17.03,9/11/2024,2:37:59 PM,0.001190185547,64.19555269,34.46655273,0.001525878906,81.42363427,33.42285156,0.0008544921875,89.28862983,35.45532227
17.16,9/11/2024,2:37:59 PM,0.001190185547,64.19555269,34.42993164,0.00146484375,78.1666889,33.42285156,0.0009155273438,95.66638911,35.49194336
17.29,9/11/2024,2:37:59 PM,0.001312255859,70.77971194,34.42993164,0.001403808594,74.90974353,33.42285156,0.0008850097656,92.47750947,35.49194336
17.42,9/11/2024,2:37:59 PM,0.001251220703,67.48763232,34.50317383,0.001586914063,84.68057964,33.42285156,0.0009460449219,98.85526874,35.49194336
17.55,9/11/2024,2:37:59 PM,0.001281738281,69.13367213,34.42993164,0.00146484375,78.1666889,33.42285156,0.0009460449219,98.85526874,35.49194336
17.68,9/11/2024,2:37:59 PM,0.001342773438,72.42575175,34.42993164,0.001617431641,86.30905233,33.42285156,0.001068115234,111.6107873,35.49194336
17.81,9/11/2024,2:37:59 PM,0.001312255859,70.77971194,34.42993164,0.001525878906,81.42363427,33.42285156,0.001068115234,111.6107873,35.45532227
17.94,9/11/2024,2:37:59 PM,0.001373291016,74.07179157,34.42993164,0.001617431641,86.30905233,33.42285156,0.0008544921875,89.28862983,35.49194336
18.07,9/11/2024,2:38:00 PM,0.001373291016,74.07179157,34.39331055,0.001586914063,84.68057964,33.42285156,0.0009765625,102.0441484,35.49194336
18.2,9/11/2024,2:38:00 PM,0.001373291016,74.07179157,34.42993164,0.001708984375,91.19447038,33.38623047,0.0009155273438,95.66638911,35.56518555
18.33,9/11/2024,2:38:00 PM,0.00146484375,79.009911,34.46655273,0.001556396484,83.05210696,33.45947266,0.0009765625,102.0441484,35.52856445
18.46,9/11/2024,2:38:00 PM,0.001525878906,82.30199063,34.35668945,0.001678466797,89.5659977,33.38623047,0.001007080078,105.233028,35.45532227
18.59,9/11/2024,2:38:00 PM,0.00146484375,79.009911,34.35668945,0.001678466797,89.5659977,33.38623047,0.0008850097656,92.47750947,35.49194336
18.72,9/11/2024,2:38:00 PM,0.001647949219,88.88614988,34.35668945,0.001678466797,89.5659977,33.38623047,0.0009155273438,95.66638911,35.49194336
18.85,9/11/2024,2:38:00 PM,0.001647949219,88.88614988,34.32006836,0.001800537109,96.07988844,33.34960938,0.001007080078,105.233028,35.45532227
18.98,9/11/2024,2:38:00 PM,0.001678466797,90.53218969,34.32006836,0.001708984375,91.19447038,33.38623047,0.0009155273438,95.66638911,35.45532227
19.11,9/11/2024,2:38:01 PM,0.001525878906,82.30199063,34.32006836,0.001739501953,92.82294307,33.38623047,0.001007080078,105.233028,35.49194336
19.24,9/11/2024,2:38:01 PM,0.001495361328,80.65595082,34.32006836,0.001678466797,89.5659977,33.34960938,0.0009155273438,95.66638911,35.45532227
19.37,9/11/2024,2:38:01 PM,0.00146484375,79.009911,34.35668945,0.001800537109,96.07988844,33.38623047,0.0009765625,102.0441484,35.49194336
19.5,9/11/2024,2:38:01 PM,0.001525878906,82.30199063,34.35668945,0.001770019531,94.45141576,33.38623047,0.0007934570313,82.91087056,35.45532227
19.63,9/11/2024,2:38:01 PM,0.001342773438,72.42575175,34.35668945,0.001800537109,96.07988844,33.38623047,0.001037597656,108.4219077,35.49194336
19.76,9/11/2024,2:38:01 PM,0.001403808594,75.71783138,34.35668945,0.001861572266,99.33683381,33.31298828,0.0008850097656,92.47750947,35.49194336
19.89,9/11/2024,2:38:01 PM,0.001647949219,88.88614988,34.35668945,0.001831054688,97.70836113,33.31298828,0.0009155273438,95.66638911,35.49194336
20.02,9/11/2024,2:38:02 PM,0.00146484375,79.009911,34.39331055,0.001953125,104.2222519,33.34960938,0.0009155273438,95.66638911,35.45532227
20.15,9/11/2024,2:38:02 PM,0.001525878906,82.30199063,34.35668945,0.001953125,104.2222519,33.31298828,0.0009460449219,98.85526874,35.41870117
20.28,9/11/2024,2:38:02 PM,0.001678466797,90.53218969,34.32006836,0.001983642578,105.8507246,33.31298828,0.0009765625,102.0441484,35.41870117
20.41,9/11/2024,2:38:02 PM,0.001647949219,88.88614988,34.32006836,0.001953125,104.2222519,33.31298828,0.0009155273438,95.66638911,35.45532227
20.54,9/11/2024,2:38:02 PM,0.001678466797,90.53218969,34.35668945,0.001892089844,100.9653065,33.31298828,0.001007080078,105.233028,35.45532227
20.67,9/11/2024,2:38:02 PM,0.001800537109,97.11634894,34.35668945,0.001983642578,105.8507246,33.27636719,0.0008544921875,89.28862983,35.45532227
20.8,9/11/2024,2:38:02 PM,0.001586914063,85.59407025,34.32006836,0.001831054688,97.70836113,33.27636719,0.0009155273438,95.66638911,35.45532227
20.93,9/11/2024,2:38:02 PM,0.001495361328,80.65595082,34.35668945,0.001892089844,100.9653065,33.27636719,0.0008239746094,86.0997502,35.41870117
21.06,9/11/2024,2:38:03 PM,0.001739501953,93.82426932,34.35668945,0.001892089844,100.9653065,33.31298828,0.001007080078,105.233028,35.45532227
21.19,9/11/2024,2:38:03 PM,0.001556396484,83.94803044,34.32006836,0.001617431641,86.30905233,33.31298828,0.0009765625,102.0441484,35.49194336
21.32,9/11/2024,2:38:03 PM,0.001556396484,83.94803044,34.35668945,0.001647949219,87.93752501,33.27636719,0.0008239746094,86.0997502,35.41870117
21.45,9/11/2024,2:38:03 PM,0.001586914063,85.59407025,34.35668945,0.001556396484,83.05210696,33.31298828,0.0009155273438,95.66638911,35.45532227
21.58,9/11/2024,2:38:03 PM,0.001708984375,92.1782295,34.35668945,0.001708984375,91.19447038,33.31298828,0.001007080078,105.233028,35.41870117
21.71,9/11/2024,2:38:03 PM,0.001586914063,85.59407025,34.32006836,0.001556396484,83.05210696,33.31298828,0.0008850097656,92.47750947,35.45532227
21.84,9/11/2024,2:38:03 PM,0.001647949219,88.88614988,34.35668945,0.001586914063,84.68057964,33.31298828,0.001037597656,108.4219077,35.45532227
21.97,9/11/2024,2:38:03 PM,0.001434326172,77.36387119,34.39331055,0.001586914063,84.68057964,33.31298828,0.0009155273438,95.66638911,35.41870117
22.1,9/11/2024,2:38:04 PM,0.00146484375,79.009911,34.39331055,0.001739501953,92.82294307,33.31298828,0.001007080078,105.233028,35.41870117
22.23,9/11/2024,2:38:04 PM,0.001495361328,80.65595082,34.35668945,0.001739501953,92.82294307,33.31298828,0.001159667969,121.1774262,35.45532227
